question_id	question_rank	document_title	paragraph_index
1	1	Genome	8
1	2	Plymouth	74
1	3	Near_East	57
1	4	Macintosh	21
1	5	Tuvalu	49
4	1	Atlantic_City,_New_Jersey	12
4	2	Beyoncé	12
4	3	Genocide	12
4	4	Royal_Dutch_Shell	23
4	5	Dwight_D._Eisenhower	49
7	1	Czech_language	21
7	2	The_Blitz	4
7	3	High-definition_television	11
7	4	Dominican_Order	35
7	5	Translation	22
10	1	Symbiosis	8
10	2	Education	26
10	3	Cardinal_(Catholicism)	17
10	4	Arnold_Schwarzenegger	69
10	5	Josip_Broz_Tito	52
13	1	Mali	10
13	2	Chihuahua_(state)	39
13	3	San_Diego	16
13	4	New_Delhi	13
13	5	Alaska	8
16	1	Atlantic_City,_New_Jersey	24
16	2	Oklahoma_City	11
16	3	Oklahoma	2
16	4	Detroit	1
16	5	Punjab,_Pakistan	0
19	1	Data_compression	19
19	2	BeiDou_Navigation_Satellite_System	14
19	3	YouTube	10
19	4	BeiDou_Navigation_Satellite_System	30
19	5	Super_Nintendo_Entertainment_System	13
22	1	God	22
22	2	Professional_wrestling	21
22	3	Aspirated_consonant	1
22	4	Renewable_energy_commercialization	23
22	5	Frédéric_Chopin	75
25	1	Nigeria	29
25	2	University_of_Kansas	16
25	3	Royal_Dutch_Shell	7
25	4	Asphalt	9
25	5	Royal_Dutch_Shell	11
28	1	Dog	10
28	2	Dog	12
28	3	Dog	0
28	4	New_Delhi	50
28	5	Religion_in_ancient_Rome	27
31	1	Aspirated_consonant	33
31	2	Aspirated_consonant	12
31	3	Asphalt	4
31	4	Buddhism	73
31	5	Digestion	9
34	1	The_Bronx	50
34	2	New_York_City	99
34	3	New_York_City	140
34	4	New_York_City	107
34	5	The_Bronx	7
37	1	Electric_motor	31
37	2	Beer	10
37	3	Insect	14
37	4	Prime_minister	1
37	5	Cubism	26
40	1	Bern	23
40	2	Southampton	29
40	3	Detroit	31
40	4	Oklahoma_City	6
40	5	Atlantic_City,_New_Jersey	0
43	1	University	24
43	2	Heresy	27
43	3	Middle_Ages	4
43	4	Education	1
43	5	Middle_Ages	2
46	1	Sexual_orientation	9
46	2	Alaska	26
46	3	Separation_of_powers_under_the_United_States_Constitution	11
46	4	Estonian_language	24
46	5	Treaty	6
49	1	Slavs	21
49	2	Federal_Bureau_of_Investigation	32
49	3	Saint_Helena	2
49	4	BBC_Television	22
49	5	New_York_City	15
52	1	Atlantic_City,_New_Jersey	12
52	2	Beyoncé	12
52	3	Genocide	12
52	4	Royal_Dutch_Shell	23
52	5	Dwight_D._Eisenhower	49
55	1	IPod	28
55	2	Universal_Studios	9
55	3	Sony_Music_Entertainment	1
55	4	Sony_Music_Entertainment	23
55	5	Universal_Studios	29
58	1	God	22
58	2	Professional_wrestling	21
58	3	Aspirated_consonant	1
58	4	Renewable_energy_commercialization	23
58	5	Frédéric_Chopin	75
61	1	National_Archives_and_Records_Administration	12
61	2	Josip_Broz_Tito	51
61	3	Gramophone_record	21
61	4	National_Archives_and_Records_Administration	17
61	5	Pub	23
64	1	Russian_Soviet_Federative_Socialist_Republic	25
64	2	Russian_Soviet_Federative_Socialist_Republic	18
64	3	Russian_Soviet_Federative_Socialist_Republic	20
64	4	Russian_Soviet_Federative_Socialist_Republic	17
64	5	Russian_Soviet_Federative_Socialist_Republic	16
67	1	Atlantic_City,_New_Jersey	12
67	2	Beyoncé	12
67	3	Genocide	12
67	4	Royal_Dutch_Shell	23
67	5	Dwight_D._Eisenhower	49
70	1	Pub	1
70	2	Web_browser	21
70	3	Brain	14
70	4	Hanover	20
70	5	Middle_Ages	4
73	1	Aspirated_consonant	31
73	2	Textual_criticism	22
73	3	Heresy	27
73	4	Friedrich_Hayek	49
73	5	Treaty	32
76	1	Compact_disc	15
76	2	Nanjing	39
76	3	Electric_motor	21
76	4	USB	3
76	5	USB	16
79	1	Comprehensive_school	21
79	2	Classical_music	59
79	3	Queen_(band)	57
79	4	Education	31
79	5	Child_labour	18
82	1	Canadian_Armed_Forces	41
82	2	Computer_security	17
82	3	Internet_service_provider	10
82	4	Royal_Institute_of_British_Architects	24
82	5	Saint_Barth%C3%A9lemy	19
